1995-01-01,84,254,117,21,263
1995-01-02,35,160,103,13,372
1995-01-03,36,221,112,25,220
1995-01-04,31,131,118,13,315
1995-01-05,33,300,107,12,293
1995-01-06,56,90,101,10,218
1995-01-07,42,123,92,14,159
1995-01-08,56,321,101,17,404
1995-01-09,42,205,95,26,236
1995-01-10,58,274,118,15,342
1995-01-11,67,111,91,18,321
1995-01-12,65,154,104,19,330
1995-01-13,40,185,104,25,395
1995-01-14,76,85,93,18,257
1995-01-15,35,156,113,29,177
1995-01-16,35,156,105,14,159
1995-01-17,66,75,116,10,266
1995-01-18,60,259,118,12,265
1995-01-19,83,273,98,19,111
1995-01-20,58,241,118,10,282
1995-01-21,34,142,96,16,178
1995-01-22,36,169,107,25,157
1995-01-23,61,248,102,15,365
1995-01-24,70,311,100,17,179
1995-01-25,63,329,94,14,416
1995-01-26,84,200,117,19,145
1995-01-27,45,108,118,10,312
1995-01-28,75,305,105,15,287
1995-01-29,36,143,97,28,419
1995-01-30,70,316,116,15,123
1995-01-31,84,107,109,17,297
1995-02-01,53,197,116,24,316
1995-02-02,82,302,97,28,405
1995-02-03,86,117,92,18,230
1995-02-04,37,128,118,12,117
1995-02-05,59,165,102,18,389
1995-02-06,38,99,103,15,138
1995-02-07,83,155,98,27,431
1995-02-08,52,109,118,10,362
1995-02-09,37,210,93,18,361
1995-02-10,58,266,109,25,243
1995-02-11,72,189,116,13,136
1995-02-12,31,113,102,17,211
1995-02-13,81,224,111,28,388
1995-02-14,67,161,119,27,124
1995-02-15,53,312,106,13,195
1995-02-16,42,84,100,13,369
1995-02-17,80,94,96,20,352
1995-02-18,82,94,118,22,143
1995-02-19,36,85,118,23,265
1995-02-20,57,313,115,14,288
1995-02-21,88,151,97,22,211
1995-02-22,63,201,105,14,240
1995-02-23,69,96,99,23,121
1995-02-24,33,176,107,19,326
1995-02-25,45,148,110,12,297
1995-02-26,34,310,109,15,226
1995-02-27,80,194,95,25,258
1995-02-28,48,83,94,24,416
1995-03-01,64,329,97,19,416
1995-03-02,75,117,103,22,352
1995-03-03,77,144,103,28,359
1995-03-04,50,268,93,27,382
1995-03-05,72,196,95,16,143
1995-03-06,37,324,109,13,253
1995-03-07,89,297,108,26,179
1995-03-08,76,62,103,22,318
1995-03-09,83,65,115,27,377
1995-03-10,44,253,112,23,101
1995-03-11,55,73,110,27,415
1995-03-12,37,173,96,13,172
1995-03-13,35,222,106,24,235
1995-03-14,51,60,96,28,438
1995-03-15,46,210,115,12,380
1995-03-16,78,264,117,28,164
1995-03-17,55,158,98,21,228
1995-03-18,66,207,110,29,154
1995-03-19,47,158,94,15,99
1995-03-20,66,156,98,15,308
1995-03-21,58,165,119,29,151
1995-03-22,53,192,117,15,249
1995-03-23,71,240,101,21,335
1995-03-24,72,323,96,23,243
1995-03-25,73,192,115,17,91
1995-03-26,72,308,94,16,341
1995-03-27,36,183,102,11,249
1995-03-28,79,98,102,24,133
1995-03-29,56,215,91,18,148
1995-03-30,36,285,97,20,259
1995-03-31,56,184,97,23,252
1995-04-01,40,329,90,30,154
1995-04-02,89,153,113,26,381
1995-04-03,79,137,97,22,304
1995-04-04,35,305,105,20,284
1995-04-05,38,237,98,22,270
1995-04-06,68,303,110,17,145
1995-04-07,47,203,100,23,305
1995-04-08,41,243,106,20,331
1995-04-09,89,270,112,16,306
1995-04-10,48,128,105,17,391
1995-04-11,60,105,94,17,319
1995-04-12,77,184,105,29,249
1995-04-13,85,298,101,13,385
1995-04-14,85,279,117,30,316
1995-04-15,74,157,98,20,227
1995-04-16,30,286,109,28,268
1995-04-17,53,168,111,27,227
1995-04-18,81,256,97,23,186
1995-04-19,57,66,99,20,397
1995-04-20,48,270,94,21,380
1995-04-21,36,102,90,14,186
1995-04-22,79,132,118,23,114
1995-04-23,84,299,115,10,117
1995-04-24,72,164,90,25,322
1995-04-25,57,119,117,30,167
1995-04-26,48,217,105,30,368
1995-04-27,47,320,100,14,408
1995-04-28,39,285,100,15,434
1995-04-29,84,207,104,17,215
1995-04-30,67,274,119,27,349
1995-05-01,58,241,117,20,238
1995-05-02,48,67,112,24,432
1995-05-03,49,319,110,28,312
1995-05-04,51,306,95,17,368
1995-05-05,88,175,110,17,206
1995-05-06,43,281,105,24,374
1995-05-07,69,136,99,21,95
1995-05-08,43,290,91,20,407
1995-05-09,45,324,102,18,154
1995-05-10,82,263,115,22,282
1995-05-11,79,143,103,24,417
1995-05-12,31,266,105,27,174
1995-05-13,49,103,106,25,211
1995-05-14,59,248,100,12,282
1995-05-15,58,188,117,26,90
1995-05-16,47,77,98,19,308
1995-05-17,64,321,90,25,215
1995-05-18,87,141,98,17,125
1995-05-19,37,272,105,22,290
1995-05-20,35,218,105,23,341
1995-05-21,80,106,102,21,227
1995-05-22,69,290,115,19,234
1995-05-23,57,173,104,13,317
1995-05-24,62,326,113,22,213
1995-05-25,80,224,109,22,211
1995-05-26,55,87,100,14,167
1995-05-27,46,329,114,17,291
1995-05-28,32,272,97,30,146
1995-05-29,74,189,115,18,251
1995-05-30,73,169,104,22,254
1995-05-31,59,145,95,22,122
1995-06-01,46,159,91,10,260
1995-06-02,85,268,105,26,264
1995-06-03,46,324,111,13,279
1995-06-04,74,192,104,12,320
1995-06-05,42,62,109,13,94
1995-06-06,33,265,113,18,187
1995-06-07,49,98,105,28,231
1995-06-08,82,116,93,11,204
1995-06-09,48,90,98,28,158
1995-06-10,81,144,106,18,343
1995-06-11,82,82,117,12,98
1995-06-12,64,283,104,22,143
1995-06-13,89,305,94,12,416
1995-06-14,31,142,109,13,311
1995-06-15,34,111,106,28,427
1995-06-16,43,163,107,16,368
1995-06-17,36,168,98,23,192
1995-06-18,61,67,95,14,153
1995-06-19,74,300,115,20,404
1995-06-20,47,243,118,23,424
1995-06-21,52,208,110,27,196
1995-06-22,48,287,104,20,238
1995-06-23,53,281,96,14,191
1995-06-24,70,229,96,18,209
1995-06-25,60,248,111,20,101
1995-06-26,71,280,110,28,153
1995-06-27,63,127,90,21,415
1995-06-28,44,309,96,17,106
1995-06-29,41,254,107,13,132
1995-06-30,59,97,92,23,202
1995-07-01,76,70,103,23,238
1995-07-02,31,71,107,15,342
1995-07-03,67,211,92,25,103
1995-07-04,58,194,118,23,381
1995-07-05,51,252,104,15,116
1995-07-06,63,97,94,12,203
1995-07-07,71,283,119,14,104
1995-07-08,42,184,98,19,108
1995-07-09,34,288,111,22,312
1995-07-10,58,144,94,17,106
1995-07-11,73,193,98,13,348
1995-07-12,87,65,98,20,115
1995-07-13,77,267,102,12,339
1995-07-14,36,317,92,29,373
1995-07-15,63,77,111,27,320
1995-07-16,77,134,101,20,326
1995-07-17,56,147,97,11,239
1995-07-18,42,230,95,11,363
1995-07-19,87,136,114,12,107
1995-07-20,76,69,91,10,119
1995-07-21,36,232,93,11,424
1995-07-22,45,96,118,18,247
1995-07-23,41,83,94,29,197
1995-07-24,89,272,96,22,246
1995-07-25,41,308,93,12,210
1995-07-26,69,244,90,27,178
1995-07-27,63,207,108,16,156
1995-07-28,74,94,99,30,193
1995-07-29,45,256,109,26,359
1995-07-30,86,171,99,14,116
1995-07-31,43,174,116,27,411
1995-08-01,61,112,97,16,110
1995-08-02,54,231,99,17,412
1995-08-03,63,165,117,28,349
1995-08-04,77,170,112,26,367
1995-08-05,74,94,117,19,233
1995-08-06,34,318,109,28,413
1995-08-07,71,155,110,24,178
1995-08-08,45,119,96,12,361
1995-08-09,50,270,110,24,224
1995-08-10,37,301,92,24,234
1995-08-11,30,143,100,24,303
1995-08-12,64,209,112,26,366
1995-08-13,70,140,105,14,151
1995-08-14,65,208,114,17,426
1995-08-15,62,289,113,12,116
1995-08-16,59,120,108,23,148
1995-08-17,82,100,112,26,97
1995-08-18,72,166,95,14,139
1995-08-19,86,302,99,17,111
1995-08-20,74,87,106,27,333
1995-08-21,37,148,113,10,391
1995-08-22,84,320,91,29,341
1995-08-23,82,330,114,11,142
1995-08-24,70,319,99,21,194
1995-08-25,71,148,101,10,176
1995-08-26,52,106,100,17,304
1995-08-27,86,72,105,19,256
1995-08-28,57,326,105,13,170
1995-08-29,85,176,101,11,311
1995-08-30,42,74,108,18,123
1995-08-31,73,185,109,11,188
1995-09-01,59,212,92,17,416
1995-09-02,43,185,113,13,155
1995-09-03,39,241,98,17,340
1995-09-04,56,209,114,20,239
1995-09-05,86,285,102,17,262
1995-09-06,78,326,115,28,196
1995-09-07,79,257,97,19,128
1995-09-08,34,208,91,17,329
1995-09-09,64,265,108,16,321
1995-09-10,70,152,100,16,198
1995-09-11,75,221,97,21,320
1995-09-12,49,189,112,20,365
1995-09-13,79,204,99,21,102
1995-09-14,32,194,94,11,142
1995-09-15,48,216,111,22,242
1995-09-16,31,226,103,10,316
1995-09-17,43,292,102,28,354
1995-09-18,31,69,92,12,286
1995-09-19,31,268,116,28,263
1995-09-20,76,211,113,20,288
1995-09-21,66,308,119,20,300
1995-09-22,52,283,109,20,352
1995-09-23,33,134,111,25,411
1995-09-24,38,224,92,28,97
1995-09-25,35,292,102,28,428
1995-09-26,31,137,105,26,338
1995-09-27,38,151,102,19,203
1995-09-28,83,82,94,18,228
1995-09-29,36,153,103,20,223
1995-09-30,87,322,120,27,111
1995-10-01,35,267,98,21,382
1995-10-02,38,250,95,18,430
1995-10-03,39,313,101,19,378
1995-10-04,54,207,91,17,361
1995-10-05,67,65,102,28,293
1995-10-06,41,311,103,12,355
